"V1","valor","variavel","data","polarity","tipo_dado","freq","escala","category","subcategory","descricao_variable","remove","valor_polarizado","norm"
92,0.561432896446192,"PrevidenciaTodosTrab",2017-10-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.561432896446192,0.265232437125727
93,0.560314901899219,"PrevidenciaTodosTrab",2018-10-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.560314901899219,0.247414393392238
94,0.560704790205352,"PrevidenciaTodosTrab",2019-10-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.560704790205352,0.253628240238507
95,0.552798116354632,"PrevidenciaTodosTrab",2020-10-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.552798116354632,0.127615585847661
96,0.557612028659657,"PrevidenciaTodosTrab",2021-10-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.557612028659657,0.204337337498731
97,0.595447728416437,"PrevidenciaTodosTrab",2022-10-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.595447728416437,0.807343993281405
98,0.600132522393381,"PrevidenciaTodosTrab",2023-10-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.600132522393381,0.882007920927188
99,0.685609179207705,"CarteiraTrabAssalariados",2012-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.685609179207705,0.54711476263752
100,0.695764016710169,"CarteiraTrabAssalariados",2013-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.695764016710169,0.723157673543597
101,0.708208939803117,"CarteiraTrabAssalariados",2014-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.708208939803117,0.938901203339446
102,0.711733355233938,"CarteiraTrabAssalariados",2015-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.711733355233938,1
103,0.709910954706135,"CarteiraTrabAssalariados",2016-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.709910954706135,0.968407107088285
104,0.696738229345901,"CarteiraTrabAssalariados",2017-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.696738229345901,0.740046494087908
105,0.680236134175401,"CarteiraTrabAssalariados",2018-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.680236134175401,0.453968369336127
106,0.675097407222402,"CarteiraTrabAssalariados",2019-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.675097407222402,0.36488408305996
107,0.67413964275561,"CarteiraTrabAssalariados",2020-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.67413964275561,0.348280405782451
108,0.684851267994332,"CarteiraTrabAssalariados",2021-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.684851267994332,0.533975714752395
109,0.666364553800461,"CarteiraTrabAssalariados",2022-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.666364553800461,0.213492498847849
110,0.666492270091244,"CarteiraTrabAssalariados",2023-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.666492270091244,0.215706571460445
111,0.663512888702103,"CarteiraTrabAssalariados",2024-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.663512888702103,0.164056412379464
112,0.686141789271245,"CarteiraTrabAssalariados",2012-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.686141789271245,0.556348019786215
113,0.694257697586652,"CarteiraTrabAssalariados",2013-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.694257697586652,0.697044325772835
114,0.71010557496025,"CarteiraTrabAssalariados",2014-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.71010557496025,0.971781017901468
115,0.708577152148789,"CarteiraTrabAssalariados",2015-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.708577152148789,0.945284483539441
116,0.699336805363311,"CarteiraTrabAssalariados",2016-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.699336805363311,0.785095061945796
117,0.683164302665651,"CarteiraTrabAssalariados",2017-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.683164302665651,0.504730708420528
118,0.67241043897981,"CarteiraTrabAssalariados",2018-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.67241043897981,0.318303159355046
119,0.666973862368428,"CarteiraTrabAssalariados",2019-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.666973862368428,0.224055391057488
120,0.699563826942247,"CarteiraTrabAssalariados",2020-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.699563826942247,0.789030677812094
121,0.678562425526643,"CarteiraTrabAssalariados",2021-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.678562425526643,0.424953179042385
122,0.656556204310263,"CarteiraTrabAssalariados",2022-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.656556204310263,0.0434562579902635
123,0.658080036889456,"CarteiraTrabAssalariados",2023-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.658080036889456,0.069873216696848
124,0.685299601952615,"CarteiraTrabAssalariados",2012-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.685299601952615,0.541747972561053
125,0.694853330614117,"CarteiraTrabAssalariados",2013-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.694853330614117,0.707370140633122
126,0.709511166845497,"CarteiraTrabAssalariados",2014-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.709511166845497,0.961476437964869
127,0.702930681137047,"CarteiraTrabAssalariados",2015-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.702930681137047,0.847398013863028
128,0.695709849197992,"CarteiraTrabAssalariados",2016-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.695709849197992,0.722218632764474
129,0.676607494740506,"CarteiraTrabAssalariados",2017-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.676607494740506,0.391062759217551
130,0.665233900829175,"CarteiraTrabAssalariados",2018-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.665233900829175,0.193891649475173
131,0.659723986787835,"CarteiraTrabAssalariados",2019-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.659723986787835,0.0983725132561628
132,0.690431811556855,"CarteiraTrabAssalariados",2020-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.690431811556855,0.630719274946867
133,0.666822649366315,"CarteiraTrabAssalariados",2021-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.666822649366315,0.221433982585676
134,0.654049478898345,"CarteiraTrabAssalariados",2022-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.654049478898345,0
135,0.659492038196768,"CarteiraTrabAssalariados",2023-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.659492038196768,0.0943514833635551
136,0.692310182065532,"CarteiraTrabAssalariados",2012-10-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.692310182065532,0.663282455995052
137,0.700523782067607,"CarteiraTrabAssalariados",2013-10-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.700523782067607,0.805672332054871
138,0.706906090182174,"CarteiraTrabAssalariados",2014-10-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.706906090182174,0.916315175774943
139,0.705658491606461,"CarteiraTrabAssalariados",2015-10-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.705658491606461,0.894686972974308
140,0.692940168869181,"CarteiraTrabAssalariados",2016-10-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.692940168869181,0.67420382334533
141,0.672092786436925,"CarteiraTrabAssalariados",2017-10-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.672092786436925,0.312796377164527
142,0.665746004233874,"CarteiraTrabAssalariados",2018-10-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.665746004233874,0.202769405916499
143,0.663348483724747,"CarteiraTrabAssalariados",2019-10-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.663348483724747,0.161206309581247
144,0.67592989239586,"CarteiraTrabAssalariados",2020-10-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Carteira de trabalho entre os assalariados",0,0.67592989239586,0.379315935188184
